uuid,created_at,updated_at,name,nitrogen,phosphorus,potassium
cea28d05-6fc3-4b52-9728-b53784b11bb3,2023-03-04 03:18:29.984708,2023-03-04 03:18:29.984708,Cotton Waste (Factory),1.32,0.45,0.36
d101c7db-2039-4ced-bf85-9d9de036ac1f,2023-03-04 03:18:29.984783,2023-03-04 03:18:29.984783,Cottonseed,3.15,1.25,1.15
06965055-3c57-4cd7-84c8-dd25ff78e1c8,2023-03-04 03:18:29.984862,2023-03-04 03:18:29.984862,Cottonseed - hull (Ash),0.0,8.7,23.93
d2d79554-040c-4bcb-9406-87a7c9818aec,2023-03-04 03:18:29.984937,2023-03-04 03:18:29.984938,Cottonseed - hull ashes,0.0,7.0,15.0
620f65e7-70c2-4878-8518-d2065d145c80,2023-03-04 03:18:29.985012,2023-03-04 03:18:29.985013,Cottonseed Meal,6.6,2.0,1.0
a76b95ed-8970-49ac-9078-daa8055e9054,2023-03-04 03:18:29.985090,2023-03-04 03:18:29.985091,Cow manure,1.9,0.7,2.1
1bb93449-140c-478c-9f23-d6080bc8531e,2023-03-04 03:18:29.985166,2023-03-04 03:18:29.985167,Cowpeas (Green forage),0.45,0.12,0.45
bf71b53e-5dac-48d9-91b3-c3e0ca336b49,2023-03-04 03:18:29.985567,2023-03-04 03:18:29.985570,Cowpeas (Seed),3.1,1.0,1.2
9e7bcc92-65f6-4bdb-b045-326a3027dbfe,2023-03-04 03:18:29.985688,2023-03-04 03:18:29.985689,Crabgrass (Green),0.66,0.19,0.71
30660095-18de-4ccf-80da-2156f1c18b57,2023-03-04 03:18:29.985780,2023-03-04 03:18:29.985781,Cucumber (Skin) (Ash),0.0,11.28,27.2
a6f6627f-1f3c-48fb-a6d8-e894fdc1837d,2023-03-04 03:18:29.985868,2023-03-04 03:18:29.985869,Dog Manure,1.97,9.95,0.3
52f3f756-1f6c-44f9-b131-e2ec60f24829,2023-03-04 03:18:29.985960,2023-03-04 03:18:29.985961,Duck Manure (Fresh),1.12,1.44,0.49
daaec3b3-22d8-4538-897c-4c6f5a2fc5e0,2023-03-04 03:18:29.986050,2023-03-04 03:18:29.986051,Earthworm Castings,1.7,2.7,0.9
3d5054a0-b73f-48d8-972b-8e78b0f99a9e,2023-03-04 03:18:29.986139,2023-03-04 03:18:29.986140,Eggs,2.25,0.4,0.15
599014ad-81bb-4426-86be-27b2de5211bf,2023-03-04 03:18:29.986259,2023-03-04 03:18:29.986260,Eggshell,1.19,0.38,0.14
52706635-428d-462f-b158-0ba7a1771f98,2023-03-04 03:18:29.986347,2023-03-04 03:18:29.986348,Eggshell (Burned),0.0,0.43,0.29
01a6f9e6-28a5-4ec0-935d-738fd603adc1,2023-03-04 03:18:29.986503,2023-03-04 03:18:29.986504,Feathers,15.3,0.0,0.0
e9208f65-6748-4127-a69e-cbbbd66f2643,2023-03-04 03:18:29.986590,2023-03-04 03:18:29.986591,Field Bean (Seed),4.0,1.2,1.3
39dcbe99-6854-4652-9dd3-5323b94d8684,2023-03-04 03:18:29.986678,2023-03-04 03:18:29.986679,Field Bean (Shell),1.7,0.3,0.35
4060c5c6-beba-43ff-b057-f946a5c3d071,2023-03-04 03:18:29.986762,2023-03-04 03:18:29.986763,Fish Scraps (Fresh),2.0,1.5,0.0
cae50592-aa96-4ce9-9c07-a53bd90231b1,2023-03-04 03:18:29.986851,2023-03-04 03:18:29.986852,Fish,5.0,5.0,6.5
05f98d13-3b62-4cdd-abb4-e7151ce0dafd,2023-03-04 03:18:29.986935,2023-03-04 03:18:29.986936,Blood & Bone meal,5.0,5.0,6.5
7750300a-cb09-4ce5-8e09-94813dd8ebc8,2023-03-04 03:18:29.987019,2023-03-04 03:18:29.987020,Gluten feed,4.0,0.0,0.0
6a82eb5b-3d0c-4b7a-8183-cb79758cd843,2023-03-04 03:18:29.987106,2023-03-04 03:18:29.987107,Goat Manure,2.2,1.9,7.1
16751a25-929f-4d89-b802-48a2ed037836,2023-03-04 03:18:29.987216,2023-03-04 03:18:29.987218,Grapefruit (Skin) (Ash),0.0,3.58,30.6
4d0fc4ca-5d1f-406f-8d0e-2c5e6047ea72,2023-03-04 03:18:29.987315,2023-03-04 03:18:29.987316,Grapes (Fruit),0.15,0.07,0.3
7ef4422d-56b8-411e-853b-8be069663601,2023-03-04 03:18:29.987474,2023-03-04 03:18:29.987475,Greasewood Ashes,0.0,0.0,12.61
641b1e04-63a7-4e24-9b9a-4998d43fc203,2023-03-04 03:18:29.987608,2023-03-04 03:18:29.987610,Greensand (Glauconite),0.0,1.0,5.0
72916947-0b5c-4ec9-b5fc-f4c9415f624d,2023-03-04 03:18:29.987742,2023-03-04 03:18:29.987743,Ground Fish (Dried),8.5,7.4,0.0
4b401b2c-5567-4eb4-b1de-f650f4f417a6,2023-03-04 03:18:29.987833,2023-03-04 03:18:29.987834,Hair,12.0,0.0,0.0
2ec4eb0a-7763-4b7b-a92f-911638282507,2023-03-04 03:18:29.987919,2023-03-04 03:18:29.987920,Harbour Mud,0.99,0.77,0.05
5b7bff34-a8b3-422a-8f96-307773c33c9f,2023-03-04 03:18:29.988006,2023-03-04 03:18:29.988007,Hoof & Horn Meal,13.0,0.0,0.0
5da1f1b5-3f41-48a0-a4ef-92ab575c0322,2023-03-04 03:18:29.988092,2023-03-04 03:18:29.988093,Horse manure,2.1,1.7,5.0
c56626e9-cf1b-433a-a5df-f37a3fc61e29,2023-03-04 03:18:29.988276,2023-03-04 03:18:29.988278,Incinerator Ash,0.24,5.15,2.33
6ddae0f8-7787-4046-b387-483ffa636d84,2023-03-04 03:18:29.988576,2023-03-04 03:18:29.988578,Insect Frass,3.0,2.0,3.0
e8f23d62-c791-406d-8b63-dd01a15f41d6,2023-03-04 03:18:29.988723,2023-03-04 03:18:29.988725,Jellyfish (Dried),4.6,0.0,0.0
37e1eaf8-7185-48f2-977d-50da659e108c,2023-03-04 03:18:29.988872,2023-03-04 03:18:29.988874,Kentucky Bluegrass (Green),0.66,0.19,0.71
de01ab02-68b5-48ca-867d-f57c4680ffca,2023-03-04 03:18:29.989029,2023-03-04 03:18:29.989030,Kentucky Bluegrass (Hay),1.2,0.4,1.55
6fcdc243-941e-4f58-8386-9c626ac95389,2023-03-04 03:18:29.989216,2023-03-04 03:18:29.989218,King Crab (Dried - Ground),10.0,0.26,0.06
b8b249ad-a641-47db-b890-9700959faae7,2023-03-04 03:18:30.000662,2023-03-04 03:18:30.000663,Wheat (Grain),2.0,0.85,0.5
4c69dbe6-9bc4-4ea3-8759-7284384f39df,2023-03-04 03:18:29.989443,2023-03-04 03:18:29.989445,King Crab (Fresh),2.0,0.0,0.0
7bdcaca8-5018-4ca7-8e40-b07599fa1807,2023-03-04 03:18:29.989597,2023-03-04 03:18:29.989599,Leather (Acidulated),7.0,0.0,0.0
c9dbc2cb-bd14-489a-9826-835ac9af8d03,2023-03-04 03:18:29.989739,2023-03-04 03:18:29.989741,Leather (Ground),10.0,0.0,0.0
7abd533f-3d1c-46f8-96ca-334905ec16b2,2023-03-04 03:18:29.989882,2023-03-04 03:18:29.989883,Leather Scraps (Ash),0.0,2.16,0.35
f43e2fca-600e-409a-a2ea-d6d8f22c1c1e,2023-03-04 03:18:29.990043,2023-03-04 03:18:29.990045,Lemon Culls,0.15,0.06,0.26
6e75f874-d8f9-4608-b083-93c96b95b816,2023-03-04 03:18:29.990216,2023-03-04 03:18:29.990218,Lemon Skins (Ash),0.0,6.3,31.0
81279967-1379-424c-bbb0-220bedcf10be,2023-03-04 03:18:29.990432,2023-03-04 03:18:29.990434,Limekiln Ash,0.0,0.75,2.0
57e0ec15-f62e-4978-9989-7eef95ce691a,2023-03-04 03:18:29.990623,2023-03-04 03:18:29.990625,Lobster Scraps,4.5,3.5,0.0
18ce3e61-45ba-4da0-adfa-a4371cd6f991,2023-03-04 03:18:29.990803,2023-03-04 03:18:29.990805,Lobster Shell,4.0,3.52,0.0
9b9b51fb-ae31-4e34-b809-3ba0a54bea11,2023-03-04 03:18:29.990966,2023-03-04 03:18:29.990968,Milk,0.5,0.3,0.18
96a7b1bb-0faf-45ed-ade1-ef1a56bc41c9,2023-03-04 03:18:29.991101,2023-03-04 03:18:29.991102,Molasses residue (Brewing),0.7,0.0,5.32
feac0dd9-54db-4ee8-9335-ead7fb635642,2023-03-04 03:18:29.991277,2023-03-04 03:18:29.991279,Mud / Silt (Freshwater),1.37,0.26,0.22
f34f00c3-88eb-4fee-b8b3-9bad53d0dbaa,2023-03-04 03:18:29.991488,2023-03-04 03:18:29.991490,Mussel Mud (Dried),0.72,0.35,0.0
219d740b-f9e3-4f56-aa3c-08832edf9b89,2023-03-04 03:18:29.991615,2023-03-04 03:18:29.991616,Mussels,0.9,0.12,0.13
6163d914-a579-4481-a8c8-0a422ca6db35,2023-03-04 03:18:29.991744,2023-03-04 03:18:29.991745,Nettles (Stinging European),5.6,0.7,3.7
